,customer_ID,customer_lastname,credit_score,account_ID,age,Email
0,94817453,Bailey,651,10059872,38,sampleemailtest30+49@gmail.com
1,83670069,Taylor,789,10059890,51,sampleemailtest30+67@gmail.com
2,76183877,Ross,652,10059873,40,sampleemailtest30+50@gmail.com
3,67509777,Smith,741,10059847,32,sampleemailtest30+24@gmail.com
4,20970323,Williams,624,10059845,33,sampleemailtest30+22@gmail.com
5,36366026,Richards,581,10059824,30,sampleemailtest30+1@gmail.com
6,59531588,Richardson,720,10059892,42,sampleemailtest30+93@gmail.com
7,88539206,Richardson,584,10059827,34,sampleemailtest30+4@gmail.com
8,45739858,Carter,621,10059842,38,sampleemailtest30+19@gmail.com
9,4489125,Wilson,714,10059910,43,sampleemailtest30+87@gmail.com
10,31296164,Montgomery,653,10059874,59,sampleemailtest30+51@gmail.com
11,41570715,Murray,711,10059870,38,sampleemailtest30+47@gmail.com
12,49387640,Chapman,618,10059863,40,sampleemailtest30+40@gmail.com
13,35719325,Hall,721,10059893,48,sampleemailtest30+94@gmail.com
14,16751893,Howard,747,10059853,36,sampleemailtest30+30@gmail.com
15,86350974,Hunt,773,10059883,50,sampleemailtest30+60@gmail.com
16,85229132,Thompson,794,10059895,60,sampleemailtest30+72@gmail.com
17,12983624,Perkins,655,10059876,52,sampleemailtest30+53@gmail.com
18,20501186,Foster,650,10059871,31,sampleemailtest30+48@gmail.com
19,64312322,Stewart,800,10059901,59,sampleemailtest30+78@gmail.com
20,4657864,Williams,611,10059856,39,sampleemailtest30+33@gmail.com
21,74437856,Murphy,585,10059828,30,sampleemailtest30+5@gmail.com
22,39037019,Nelson,740,10059846,40,sampleemailtest30+23@gmail.com
23,14582675,Lloyd,798,10059899,60,sampleemailtest30+76@gmail.com
24,43302747,Murray,586,10059829,34,sampleemailtest30+6@gmail.com
25,23794003,Elliott,656,10059877,50,sampleemailtest30+54@gmail.com
26,98344753,Barnes,650,10059879,50,sampleemailtest30+56@gmail.com
27,13746273,Anderson,701,10059833,31,sampleemailtest30+10@gmail.com
28,22097310,Smith,690,10059839,36,sampleemailtest30+16@gmail.com
29,4060581,Howard,614,10059859,40,sampleemailtest30+36@gmail.com
30,27256430,Cameron,615,10059860,38,sampleemailtest30+37@gmail.com
31,49488418,Thompson,840,10059840,39,sampleemailtest30+17@gmail.com
32,23167424,Howard,610,10059855,33,sampleemailtest30+32@gmail.com
33,85359306,Grant,709,10059868,35,sampleemailtest30+45@gmail.com
34,85342226,Elliott,705,10059837,35,sampleemailtest30+14@gmail.com
35,23664328,Hill,708,10059867,37,sampleemailtest30+44@gmail.com
36,7911990,Baker,801,10059902,58,sampleemailtest30+79@gmail.com
37,78071439,Howard,774,10059884,51,sampleemailtest30+61@gmail.com
38,73469514,Chapman,723,10059895,43,sampleemailtest30+96@gmail.com
39,30865456,Robinson,582,10059825,36,sampleemailtest30+2@gmail.com
40,14555199,Carter,716,10059888,45,sampleemailtest30+89@gmail.com
41,84893291,Barrett,806,10059907,53,sampleemailtest30+84@gmail.com
42,47333818,Baker,712,10059908,47,sampleemailtest30+85@gmail.com
